Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
10000,49,8970,1,0.1
20000,49,18028,1,0.1
40000,49,35988,1,0.1
60000,49,54115,1,0.1
80000,49,72088,1,0.1
100000,49,89888,1,0.1
2,50,1,1,0.1
3,50,2,1,0.1
100,50,82,1,0.1
200,50,178,1,0.1
2000,50,1815,1,0.1
10000,50,8981,1,0.1
20000,50,17882,1,0.1
40000,50,36058,1,0.1
60000,50,54069,1,0.1
80000,50,71989,1,0.1
100000,50,90027,1,0.1
2,51,1,1,0.1
3,51,2,1,0.1
100,51,90,1,0.1
200,51,182,1,0.1
2000,51,1802,1,0.1
10000,51,8976,1,0.1
20000,51,18033,1,0.1
40000,51,36058,1,0.1
60000,51,53889,1,0.1
80000,51,71903,1,0.1
100000,51,89909,1,0.1
2,52,2,1,0.1
3,52,3,1,0.1
100,52,85,1,0.1
200,52,182,1,0.1
2000,52,1811,1,0.1
10000,52,9000,1,0.1
20000,52,18007,1,0.1
40000,52,35904,1,0.1
60000,52,54072,1,0.1
80000,52,72054,1,0.1
100000,52,90149,1,0.1
2,53,1,1,0.1
3,53,3,1,0.1
100,53,90,1,0.1
200,53,184,1,0.1
2000,53,1801,1,0.1
10000,53,8993,1,0.1
20000,53,17954,1,0.1
40000,53,35985,1,0.1
60000,53,54007,1,0.1
80000,53,72034,1,0.1
100000,53,90110,1,0.1
2,54,0,1,0.1
3,54,3,1,0.1
100,54,89,1,0.1
200,54,185,1,0.1
2000,54,1787,1,0.1
10000,54,8924,1,0.1
20000,54,17994,1,0.1
40000,54,35928,1,0.1
60000,54,54114,1,0.1
80000,54,72042,1,0.1
100000,54,89947,1,0.1
2,55,2,1,0.1
3,55,3,1,0.1
100,55,88,1,0.1
200,55,179,1,0.1
2000,55,1782,1,0.1
10000,55,8998,1,0.1
20000,55,17967,1,0.1
40000,55,36044,1,0.1
60000,55,53964,1,0.1
80000,55,72059,1,0.1
100000,55,89860,1,0.1
2,56,1,1,0.1
3,56,1,1,0.1
100,56,90,1,0.1
200,56,186,1,0.1
2000,56,1806,1,0.1
10000,56,8933,1,0.1
20000,56,17941,1,0.1
40000,56,35990,1,0.1
60000,56,54068,1,0.1
80000,56,71921,1,0.1
100000,56,90037,1,0.1
2,57,1,1,0.1
3,57,3,1,0.1
100,57,93,1,0.1
200,57,177,1,0.1
2000,57,1802,1,0.1
10000,57,8999,1,0.1
20000,57,17998,1,0.1
40000,57,36050,1,0.1
60000,57,53911,1,0.1
80000,57,72086,1,0.1
100000,57,90000,1,0.1
2,58,1,1,0.1
3,58,2,1,0.1
100,58,90,1,0.1
200,58,180,1,0.1
2000,58,1817,1,0.1
10000,58,9034,1,0.1
20000,58,17992,1,0.1
40000,58,35962,1,0.1
60000,58,53994,1,0.1
80000,58,72097,1,0.1
100000,58,90041,1,0.1
2,59,2,1,0.1
3,59,1,1,0.1
100,59,93,1,0.1
200,59,190,1,0.1
2000,59,1801,1,0.1
10000,59,8935,1,0.1
20000,59,17992,1,0.1
40000,59,35911,1,0.1
60000,59,53948,1,0.1
80000,59,72068,1,0.1
100000,59,89895,1,0.1
2,60,2,1,0.1
3,60,3,1,0.1
100,60,89,1,0.1
200,60,178,1,0.1
2000,60,1826,1,0.1
10000,60,8994,1,0.1
20000,60,18069,1,0.1
40000,60,35999,1,0.1
60000,60,53963,1,0.1
80000,60,72035,1,0.1
100000,60,89938,1,0.1
2,61,2,1,0.1
3,61,2,1,0.1
100,61,92,1,0.1
200,61,182,1,0.1
2000,61,1812,1,0.1
10000,61,8992,1,0.1
20000,61,18043,1,0.1
40000,61,36121,1,0.1
60000,61,54096,1,0.1
80000,61,71860,1,0.1
100000,61,90027,1,0.1
2,62,2,1,0.1
3,62,3,1,0.1
100,62,90,1,0.1
200,62,179,1,0.1
2000,62,1805,1,0.1
10000,62,8982,1,0.1
20000,62,18006,1,0.1
40000,62,36042,1,0.1
60000,62,53994,1,0.1
80000,62,71958,1,0.1
100000,62,89899,1,0.1
2,63,2,1,0.1
3,63,2,1,0.1
100,63,92,1,0.1
200,63,178,1,0.1
2000,63,1798,1,0.1
10000,63,9022,1,0.1
20000,63,17989,1,0.1
40000,63,35970,1,0.1
60000,63,53996,1,0.1
80000,63,71987,1,0.1
100000,63,89907,1,0.1
2,64,2,1,0.1
3,64,2,1,0.1
100,64,84,1,0.1
200,64,182,1,0.1
2000,64,1791,1,0.1
10000,64,8964,1,0.1
20000,64,17928,1,0.1
40000,64,35942,1,0.1
60000,64,53964,1,0.1
80000,64,71991,1,0.1
100000,64,89862,1,0.1
2,65,2,1,0.1
3,65,3,1,0.1
100,65,90,1,0.1
200,65,178,1,0.1
2000,65,1807,1,0.1
10000,65,8989,1,0.1
20000,65,18002,1,0.1
40000,65,35974,1,0.1
60000,65,54086,1,0.1
80000,65,71874,1,0.1
100000,65,89888,1,0.1
2,66,2,1,0.1
3,66,2,1,0.1
100,66,91,1,0.1
200,66,181,1,0.1
2000,66,1788,1,0.1
10000,66,9054,1,0.1
20000,66,18048,1,0.1
40000,66,35960,1,0.1
60000,66,53921,1,0.1
80000,66,71926,1,0.1
100000,66,89960,1,0.1
2,67,2,1,0.1
3,67,3,1,0.1
100,67,91,1,0.1
200,67,180,1,0.1
2000,67,1806,1,0.1
10000,67,9009,1,0.1
20000,67,17955,1,0.1
40000,67,36044,1,0.1
60000,67,54079,1,0.1
80000,67,71999,1,0.1
100000,67,90230,1,0.1
2,68,0,1,0.1
3,68,3,1,0.1
100,68,85,1,0.1
200,68,182,1,0.1
2000,68,1817,1,0.1
10000,68,9016,1,0.1
20000,68,17987,1,0.1
40000,68,36021,1,0.1
60000,68,53896,1,0.1
80000,68,72151,1,0.1
100000,68,89830,1,0.1
2,69,2,1,0.1
3,69,3,1,0.1
100,69,93,1,0.1
200,69,181,1,0.1
2000,69,1815,1,0.1
10000,69,8998,1,0.1
20000,69,17952,1,0.1
40000,69,35938,1,0.1
60000,69,53885,1,0.1
80000,69,72041,1,0.1
100000,69,89931,1,0.1
2,70,2,1,0.1
3,70,2,1,0.1
100,70,95,1,0.1
200,70,182,1,0.1
2000,70,1798,1,0.1
10000,70,8983,1,0.1
20000,70,17978,1,0.1
40000,70,36042,1,0.1
60000,70,54024,1,0.1
80000,70,71943,1,0.1
100000,70,90083,1,0.1
2,71,2,1,0.1
3,71,3,1,0.1
100,71,96,1,0.1
200,71,180,1,0.1
2000,71,1809,1,0.1
10000,71,8987,1,0.1
20000,71,17978,1,0.1
40000,71,36062,1,0.1
60000,71,54038,1,0.1
80000,71,72140,1,0.1
100000,71,90148,1,0.1
2,72,1,1,0.1
3,72,2,1,0.1
100,72,91,1,0.1
200,72,183,1,0.1
2000,72,1811,1,0.1
