Timestep,Iteration,Total Reward,Suboptimal Arms,Regret
20000,93,17849,1056,105.6
40000,93,35783,2091,209.1
60000,93,53628,2980,298.0
80000,93,71660,4032,403.2
100000,93,89472,4943,494.3
2,94,2,0,0.0
3,94,3,0,0.0
100,94,90,5,0.5
200,94,181,12,1.2
2000,94,1792,122,12.2
10000,94,8951,511,51.1
20000,94,17844,1064,106.4
40000,94,35754,2057,205.7
60000,94,53782,3033,303.3
80000,94,71568,3991,399.1
100000,94,89400,5173,517.3
2,95,2,0,0.0
3,95,2,0,0.0
100,95,91,5,0.5
200,95,175,8,0.8
2000,95,1811,99,9.9
10000,95,8951,535,53.5
20000,95,17896,1012,101.2
40000,95,35722,2167,216.7
60000,95,53561,3039,303.9
80000,95,71667,3930,393.0
100000,95,89437,5048,504.8
2,96,2,0,0.0
3,96,2,0,0.0
100,96,91,28,2.8
200,96,185,23,2.3
2000,96,1798,140,14.0
10000,96,8939,483,48.3
20000,96,17905,1017,101.7
40000,96,35849,1934,193.4
60000,96,53764,2989,298.9
80000,96,71665,3972,397.2
100000,96,89476,5118,511.8
2,97,2,0,0.0
3,97,3,0,0.0
100,97,83,93,9.3
200,97,185,12,1.2
2000,97,1774,128,12.8
10000,97,8967,540,54.0
20000,97,17877,1137,113.7
40000,97,35838,2052,205.2
60000,97,53615,2943,294.3
80000,97,71631,4025,402.5
100000,97,89618,5086,508.6
2,98,2,0,0.0
3,98,3,0,0.0
100,98,89,6,0.6
200,98,178,17,1.7
2000,98,1766,129,12.9
10000,98,9005,507,50.7
20000,98,17892,990,99.0
40000,98,35803,2015,201.5
60000,98,53622,2982,298.2
80000,98,71752,4011,401.1
100000,98,89460,5150,515.0
2,99,2,0,0.0
3,99,3,0,0.0
100,99,95,9,0.9
200,99,176,16,1.6
2000,99,1808,125,12.5
10000,99,8918,489,48.9
20000,99,17929,1077,107.7
40000,99,35750,1918,191.8
60000,99,53616,3052,305.2
80000,99,71636,4009,400.9
100000,99,89416,4969,496.9
2,100,1,1,0.1
3,100,3,0,0.0
100,100,89,8,0.8
200,100,178,7,0.7
2000,100,1769,110,11.0
10000,100,8962,474,47.4
20000,100,17813,1000,100.0
40000,100,35691,1988,198.8
60000,100,53628,3140,314.0
80000,100,71650,4128,412.8
100000,100,89559,5021,502.1
